"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Auckland","AIRFIELD ROAD",""," ","I","MULLINS ROAD","201531140","13/02/2015","Fri","1830","DC","CE1","103A 112A ","F","R","D","B ","F ","T","G","C","080","0","0","0","","","1776107","5900506",
"Auckland","AKORANGA DRIVE","50","N"," ","KITEWAO ST","201530832","28/01/2015","Wed","1445","AO","ON1C","381A ","","R","D","BF","F "," ","N","P","050","0","0","0","","","1756310","5926476",
"Auckland","ALBANY HIGHWAY","50","N"," ","ASHBY PLACE","201531410","02/03/2015","Mon","1759","FD","4S1CC","112A ","","R","D","B ","F "," ","N","C","050","0","0","0","","","1752123","5930632",
"Auckland","ALBANY HIGHWAY",""," ","I","ROSEDALE ROAD","201532464","19/02/2015","Thu","1600","FA","CN1C","181A 817 ","","R","D","B ","F ","R","G","R","050","0","0","0","","","","",
"Auckland","ALBANY HIGHWAY",""," ","I","SUNSET ROAD","201531394","08/02/2015","Sun","2108","LB","CS1C","303B ","","R","D","DO","F ","X","T","R","050","0","0","0","","","1753387","5929804",
"Auckland","ALFRISTON ROAD",""," ","I","MILL ROAD","201532332","26/02/2015","Thu","2145","HA","CW1T","302A ","","R","D","DO","F ","R","G","R","070","0","0","0","","","","",
"Auckland","ALFRISTON ROAD",""," ","I","MILL ROAD","201530826","18/01/2015","Sun","1430","HA","CN2C","302A 375A ","","R","D","BF","F ","R","G","C","080","0","0","0","","","1772538","5901520",
"Auckland","ALISON AVENUE","100","N"," ","THE PROMENADE","201531944","20/01/2015","Tue","1800","FA","CN1C","331A 350A ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1758439","5927677",
"Auckland","ALISON ROAD",""," ","I","KENNEDY ROAD","201510165","20/01/2015","Tue","1030","BE","VW14","191A 687A ","","R","D","B ","F ","T","N","C","050","0","0","1","","","1781136","5925896",
"Auckland","ALPERS AVENUE","100","E"," ","GILLIES AVENUE","201532310","20/02/2015","Fri","1225","MC","CW14","372B ","","R","D","B ","F "," "," ","C","050","0","0","0","","","1758169","5917519",
"Auckland","ANZAC AVENUE","20","N"," ","ALTEN ROAD","201531036","08/01/2015","Thu","1615","FD","CS1C","181A ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1758033","5920291",
"Auckland","ANZAC ST","220","S"," ","AUBURN ST","201530936","06/01/2015","Tue","1345","MD","CS1C","112B 308B 371B 929 ","","R","D","B ","F ","D","N","C","050","0","0","0","","","1757587","5927042",
"Auckland","ANZAC ST",""," ","I","KILLARNEY ST","201531392","30/01/2015","Fri","1200","HA","CS24","322B ","","E","D","B ","F ","X","T","N","050","0","0","0","","","1757222","5926964",
"Auckland","ARARIMU ROAD","550","E"," ","HIWINUI ROAD","201510352","17/01/2015","Sat","1945","DA","CE1","102A 111A 131A 801 ","T","M","W","O ","L "," "," ","C","100","0","0","1","","","1780250","5887179",
"Auckland","ARAWA ST","20","W"," ","TITIRANGI ROAD","201531096","06/02/2015","Fri","1530","MD","CW1C","371B 929 ","","R","D","BF","F ","D","N","C","050","0","0","0","","","1749329","5913768",
"Auckland","ARCHERS ROAD",""," ","I","CHIVALRY ROAD","201532334","23/01/2015","Fri","1630","FE","CN1T","181A ","","R","D","B ","F ","T","T","C","050","0","0","0","","","","",
"Auckland","ARCHERS ROAD",""," ","I","CHIVALRY ROAD","201531395","26/01/2015","Mon","1040","KB","CW1C","322A ","","E","D","B ","F ","T","T","C","050","0","0","0","","","1755048","5927885",
"Auckland","ARRANMORE DRIVE","50","S"," ","CLADY DRIVE","201530462","27/01/2015","Tue","1340","LB","CS1C","303B 375B 929 ","","R","D","B ","F ","D","N","C","050","0","0","0","","","1770717","5906470",
"Auckland","ARTHUR BROWN PLACE",""," ","I","CARBINE ROAD","201531844","24/01/2015","Sat","1445","FE","CE1C","181A 331A ","","E","D","B ","F ","X","T","N","050","0","0","0","","","1764500","5912835",
"Auckland","ARTHUR ST","100","S"," ","PUKERANGI CRESCENT","201531935","04/01/2015","Sun","2300","MC","CN1C","372B ","","R","D","DO","F "," ","N","C","050","0","0","0","","","1761513","5915223",
"Auckland","ARUNDEL ST",""," ","I","ROGAN ST","201531832","22/01/2015","Thu","1400","HA","CN24","301A 375A ","","R","D","B ","F ","X","S","C","050","0","0","0","","","1755485","5912674",
"Auckland","ASCOT AVENUE","100","S"," ","GREEN LANE EAST","201530376","29/01/2015","Thu","0950","MO","CS1C","130A 427A ","M","R","D","B ","F "," "," ","R","050","0","0","0","","","1760519","5916103",
"Auckland","ASH ST","10","W"," ","GREAT NORTH ROAD","201530899","19/01/2015","Mon","1126","FE","CE1CC","331A 350A ","","R","D","BF","F ","X","T","R","050","0","0","0","","","1751088","5915761",
"Auckland","ASH ST","10","W"," ","SANDY LANE","201530441","29/01/2015","Thu","1645","AA","CW1C","350A 381A ","","E","D","B ","F ","T","G","C","050","0","0","0","","","1750213","5915238",
"Auckland","ASPIRING AVENUE","20","E"," ","HOLLYFORD DRIVE","201532120","06/02/2015","Fri","0640","CC","VE1C","130A 517A ","M","R","W","BF","L "," ","N","P","050","0","0","0","","","1768794","5905026",
"Auckland","ASPIRING AVENUE","20","W"," ","RAKAIA RISE","201530865","14/01/2015","Wed","0810","GE","CW1C","160A 333A 929 ","","R","D","BF","F ","D","N","P","050","0","0","0","","","1768847","5905040",
"Auckland","ASQUITH AVENUE",""," ","I","AMANDALE AVENUE","201531282","06/01/2015","Tue","1325","JA","VS1C","303B ","","E","D","B ","F ","T","G","C","050","0","0","0","","","1753751","5917583",
"Auckland","ATKINS ROAD",""," ","I","OCEAN VIEW ROAD","201531797","01/01/2015","Thu","0200","CC","4E1","130A 402A ","F","R","D","DN","F ","T","N","N","100","0","0","0","","","1746859","5992483",
"Auckland","ATKINSON AVENUE",""," ","I","ALBION ROAD","201532147","03/02/2015","Tue","0800","MO","CS14","371B 929 ","","R","D","BF","F ","D","G","C","050","0","0","0","","","1764144","5910263",
"Auckland","ATKINSON AVENUE","20","N"," ","CRITERIAN LANE","201510814","07/02/2015","Sat","1430","JA","SN1C","204A 308B 330B 929 ","","R","D","B ","F ","D","N","N","050","0","0","1","","60","","",
"Auckland","AUBURN ST",""," ","I","COMO ST","201531901","15/02/2015","Sun","1031","GE","MN1C","333A 387A ","","R","D","BF","F ","T","S","L","050","0","0","0","","","1757825","5927077",
"Auckland","AUBURN ST","130","S"," ","KHYBER PASS ROAD","201531940","17/01/2015","Sat","1900","QD","OS1","611A ","P","E","W","BF","L "," ","N","N","050","0","0","0","","","1757413","5918506",
"Auckland","AVENUE ROAD",""," ","I","WATER ST","201510424","01/01/2015","Thu","0040","BC","CE1VC","111A 122A ","M","R","W","DO","F ","T","S","C","050","0","0","1","","","1764789","5909992",
"Auckland","AVIEMORE DRIVE","100","N"," ","AMERCE PLACE","201532101","02/01/2015","Fri","0600","EA","CN1C","129A ","M","R","D","DO","F "," ","N","C","050","0","0","0","","","1769889","5913362",
"Auckland","AVIEMORE DRIVE","30","S"," ","LEWISHAM ST","201530467","23/01/2015","Fri","1900","EA","CS1C","386A ","M","R","D","B ","F "," ","N","C","050","0","0","0","","","1769791","5913627",
"Auckland","AWHITU ROAD","450","S"," ","BARTHOW ROAD","201510066","13/01/2015","Tue","2000","DB","MS1","103A 131A 134A ","C","E","D","TN","F "," "," ","C","100","0","1","0","","","1742718","5887737",
"Auckland","AYR ST","10","N"," ","BASSETT ROAD","201532331","31/01/2015","Sat","1051","DA","CN1","131A 801 ","F","E","W","O ","L ","R","G","R","050","0","0","0","","","1759310","5918705",
"Auckland","BADER DRIVE","40","S"," ","COMET CRESCENT N","201532368","20/02/2015","Fri","1500","MO","CS1C","371A 372B 929 ","","R","D","B ","F ","D","N","P","050","0","0","0","","","","",
"Auckland","BADER DRIVE","80","W"," ","MASCOT AVENUE","201530465","22/01/2015","Thu","1750","FD","CE1C","181A 330A ","","R","D","B ","F "," ","N","C","050","0","0","0","","","1760309","5907065",
"Auckland","BADER DRIVE",""," ","I","MASCOT AVENUE","201510805","11/02/2015","Wed","1312","HA","CW1M","302A 375A ","","M","D","B ","F ","R","G","R","050","0","0","1","","","1760386","5907041",
"Auckland","BAIRDS ROAD","15","E"," ","ASHTON AVENUE","201530818","03/02/2015","Tue","0815","FA","CW14C","181A ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1766008","5908253",
"Auckland","BAIRDS ROAD","50","S"," ","EAST TAMAKI ROAD","201532288","11/02/2015","Wed","0900","FD","CN14","112A 331A 402A ","","R","D","B ","F "," "," ","C","050","0","0","0","","","1766902","5907595",
"Auckland","BAIRDS ROAD","100","E"," ","GILBERT ROAD","201530878","05/02/2015","Thu","1844","FD","CE1C","181A ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1766260","5908192",
"Auckland","BAIRDS ROAD",""," ","I","JUKES PLACE","201530223","03/01/2015","Sat","0404","DA","CS1","111A 131A 517A 862 ","FP","R","D","DO","F ","T","G","C","050","0","0","0","","","1766898","5907501",
"Auckland","BAIRDS ROAD","20","E"," ","WAIPAPA CRESCENT W","201530819","03/02/2015","Tue","0715","FD","CW1C","331A 359A ","","E","D","BF","F "," ","N","C","050","0","0","0","","","1765899","5908280",
"Auckland","BARBADOS DRIVE","80","E"," ","GRENADINE PLACE","201510156","24/01/2015","Sat","1254","CB","CW1C","112A 134A ","M","R","D","B ","F "," ","N","C","050","0","0","1","","","1753291","5931116",
"Auckland","BARNEYS FARM ROAD","5","N"," ","PALMERS ROAD","201532053","03/02/2015","Tue","1200","MG","CS1C","352B 371B ","","R","D","B ","F ","T","N","C","050","0","0","0","","","1765944","5899612",
"Auckland","BAYSWATER AVENUE","80","E"," ","LANSDOWNE ST","201510360","15/01/2015","Thu","0010","EA","CW1C","129A 330A 402A ","M","R","D","DO","F "," "," ","C","050","0","0","2","","","1758064","5924121",
"Auckland","BEACH ROAD","270","N"," ","ABERDEEN ROAD","201530481","21/01/2015","Wed","2240","DA","CS1C","103A 111A ","M","E","D","DO","F "," ","N","C","050","0","0","0","","","1757399","5931392",
"Auckland","BEACH ROAD","10","N"," ","ANZAC ROAD","201530875","15/01/2015","Thu","1615","FE","CS1C","181A ","","R","D","BF","F ","X","T","C","050","0","0","0","","","1755664","5935143",
"Auckland","BEACH ROAD","120","N"," ","DURHAM ST","201530035","06/01/2015","Tue","2004","MO","CN1","133A 402A 929 ","F","R","D","B ","F ","D","N","C","050","0","0","0","","","1747703","5922128",
"Auckland","BEACH ROAD",""," ","I","MAHUHU CRESCENT","201530071","01/01/2015","Thu","0050","LB","VS1C","303B 375B ","","R","W","DO","L ","M","G","C","050","0","0","0","","","1758142","5920582",
"Auckland","BEACH ROAD","15","S"," ","RONAYNE ST","201510482","13/01/2015","Tue","1816","LB","CS1C4","303B 314B 922 ","","E","D","B ","F ","D","N","P","050","0","0","1","","","1758208","5920376",
"Auckland","BEACH ROAD","20","N"," ","TANGIHUA ST","201531072","12/02/2015","Thu","1435","MA","CN1C","373B ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1758056","5920704",
"Auckland","BEACH ROAD",""," ","I","TANGIHUA ST","201510169","27/01/2015","Tue","1700","KA","SE1C","302B 375B ","","R","D","B ","F ","T","T","C","050","0","0","1","","38","1758068","5920688",
"Auckland","BEACH ROAD S",""," ","I","THE ESPLANADE","201530398","06/01/2015","Tue","1837","FC","CN1C","181A 331A ","","E","D","B ","F ","X","G","C","050","0","0","0","","","1757725","5930435",
"Auckland","BEACHCROFT AVENUE",""," ","I","QUEENSTOWN ROAD","201530850","23/01/2015","Fri","1705","GF","BW14","381A 671A ","","E","D","BF","F ","R","G","R","050","0","0","0","","","1757455","5912441",
"Auckland","BELLEVUE ROAD",""," ","I","SHERBOURNE ROAD","201530419","30/01/2015","Fri","0930","LB","CW1S","302A 503A ","","M","D","B ","F ","R","G","C","050","0","0","0","","","1756670","5917532",
"Auckland","BEN LOMOND CRESCENT",""," ","I","CANON PLACE","201510063","13/01/2015","Tue","1307","GD","CS1M","144A 191A 111B 181B 331B ","","R","D","B ","F ","T","N","C","050","0","0","1","","","1769130","5912772",
"Auckland","BLACKBRIDGE ROAD","930","S"," ","MUIR ROAD","201510537","27/01/2015","Tue","1634","DA","CN1","131A 350A ","P","E","D","B ","F "," "," ","C","070","0","0","1","","","1768713","5889916",
"Auckland","BLOCKHOUSE BAY ROAD","300","S"," ","GREAT NORTH ROAD","201530363","22/01/2015","Thu","1055","FD","VS1V","331A 352A ","","R","D","B ","F "," "," ","C","050","0","0","0","","","1751537","5916105",
"Auckland","BLOCKHOUSE BAY ROAD","50","N"," ","HENRY ST","201531007","04/02/2015","Wed","","EA","CN1C","129A ","M","R"," ","BF","  "," ","N","C","050","0","0","0","","","1751543","5915928",
"Auckland","BOND ST","70","S"," ","GREAT NORTH ROAD","201510478","31/01/2015","Sat","0217","EA","CS1C","103A 386A ","M","R","D","DO","F "," ","N","C","050","0","0","1","","","1755526","5918576",
"Auckland","BORDER ROAD","50","N"," ","TABITHA CRESCENT S","201531039","02/01/2015","Fri","1855","GA","CN1C","181A 333A 929 ","","R","D","BF","F ","D","N","C","050","0","0","0","","","1744226","5915848",
"Auckland","BOTANY ROAD",""," ","I","CASCADES ROAD","201530460","23/01/2015","Fri","1730","GA","CN1C","181A ","","R","D","B ","F ","T","T","C","050","0","0","0","","","1770543","5912714",
"Auckland","BOTANY ROAD","20","N"," ","SHEFFIELD PLACE","201531929","08/01/2015","Thu","1800","FF","4N1C","181A 191B 351B ","","R"," ","BF","  "," ","N","P","050","0","0","0","","","1770880","5913617",
"Auckland","BOURNEMOUTH AVENUE","80","W"," ","AROHA AVENUE","201532450","04/02/2015","Wed","0730","MA","CW1CC","103B 373B ","M","R","D","O ","F "," "," ","N","050","0","0","0","","","1754642","5917021",
"Auckland","BOWEN AVENUE","100","E"," ","KITCHENER ST W","201531430","11/02/2015","Wed","1330","EA","VE1C","386A ","M","R","D","B ","F "," ","N","C","040","0","0","0","","","1757619","5920424",
"Auckland","BRADBURY ROAD","160","E"," ","HIGHLAND PARK DRIVE","201530894","26/01/2015","Mon","0210","EA","CN1C","129A ","M","R","D","DO","F "," ","N","N","050","0","0","0","","","1770694","5914129",
"Auckland","BRAEMAR ROAD","20","N"," ","BEACH ROAD","201531033","14/01/2015","Wed","1308","MO","CN1C","133A 423A ","M","R","D","BF","F ","T","G","C","050","0","0","0","","","1755768","5934095",
"Auckland","BRENTFORD PLACE","100","E"," ","DAGENHAM ST","201531083","07/02/2015","Sat","0526","CB","CS1","514A ","F","R","D","DO","F "," ","N","N","050","0","0","0","","","1766249","5901531",
"Auckland","BRIGHTON ROAD",""," ","I","AYR ST","201530344","30/01/2015","Fri","2130","HA","CW1C","302A ","","E","D","B ","F ","R","G","R","050","0","0","0","","","1759342","5918701",
"Auckland","BROADWAY","20","S"," ","TEED ST","201531235","16/01/2015","Fri","1500","MG","CN1C","330B 371B ","","R","D","B ","F ","T","T","L","050","0","0","0","","","1758449","5918133",
"Auckland","BROOKBY ROAD","10","E"," ","FITZPATRICK ROAD","201531139","22/02/2015","Sun","1740","CB","CW1","101A ","FV","R","D","B ","F ","T","N","C","100","0","0","0","","","1776011","5903615",
"Auckland","BROOKBY ROAD","150","S"," ","TWILIGHT ROAD","201510553","30/01/2015","Fri","1040","BA","TS1C","129A 205A ","","R","D","B ","F "," "," ","L","100","0","1","0","","","1777311","5904990",
"Auckland","BROOKBY ROAD","300","W"," ","WEST ROAD","201532611","03/03/2015","Tue","0759","CB","CN1","116A 138A 330A 817 ","F","R","D","O ","F "," "," ","N","100","0","0","0","","","","",
"Auckland","BROWNS BAY ROAD","20","E"," ","BEACH ROAD N","201530030","09/01/2015","Fri","2154","DB","CE1","137A 197A ","G","E","D","DO","F "," ","N","C","050","0","0","0","","","1755512","5934299",
"Auckland","BROWNS ROAD","100","E"," ","GLOUCESTER ROAD","201510160","29/01/2015","Thu","1800","NA","CE1E","711B 712B ","","R","D","B ","F "," ","N","C","050","0","0","1","","","1766918","5901916",
"Auckland","BRUCE MCLAREN ROAD",""," ","I","RAILSIDE AVENUE","201510157","01/02/2015","Sun","1728","DA","CS1","103A 150A ","G","E","D","O ","L ","T","G","C","050","0","0","1","","","1745394","5915987",
"Auckland","BUCH ROAD","50","S"," ","MATTHEWS ROAD","201510266","22/01/2015","Thu","1800","AA","CS1P","372A 448B ","","R","D","BF","F "," ","N","P","050","0","0","1","","","","",
"Auckland","BUCKLAND ROAD","150","N"," ","GLENCAIR PLACE","201511190","19/02/2015","Thu","1600","JA","CS1C","308B 375B 402B 927 ","","R","D","B ","F ","D"," ","L","050","0","0","1","","","","",
"Auckland","BUCKLAND ROAD",""," ","I","MASSEY ROAD","201531998","15/01/2015","Thu","1335","MG","CE1V","371A ","","R","D","BF","F ","X","T","C","050","0","0","0","","","1762271","5907061",
"Auckland","BUCKLAND ROAD",""," ","I","ROBERTSON ROAD","201530472","24/01/2015","Sat","0715","HA","CS1C","302A 375A ","","R","D","B ","F ","R","G","C","050","0","0","0","","","1761007","5907333",
"Auckland","BUCKLANDS BEACH ROAD","140","N"," ","PAKURANGA ROAD","201531052","27/01/2015","Tue","2040","AC","CS1C","381A ","","R","D","DO","F "," ","N","C","050","0","0","0","","","1769899","5914909",
"Auckland","BUCKLANDS BEACH ROAD","200","S"," ","PAKURANGA ROAD","201531224","20/01/2015","Tue","1320","AO","CS1C","129A 330A ","M","R","D","B ","F "," "," ","C","050","0","0","0","","","1769915","5914967",
"Auckland","BUCKLEY AVENUE","10","W"," ","DE HAVILLAND ROAD","201510443","06/01/2015","Tue","0930","CC","VW1","130A 504A ","","R","D","B ","F ","T","N","R","070","0","0","1","","","1748050","5926966",
"Auckland","BURBANK AVENUE",""," ","I","DAGENHAM ST","201532012","17/01/2015","Sat","1730","JA","CE1C","103B 302B 375B ","","E","W","B ","F ","T","G","P","050","0","0","0","","","1766400","5901196",
"Auckland","CAMBRIDGE TERRACE",""," ","I","BRIDGE ST","201531003","01/02/2015","Sun","2137","JA","CN1C","302A 375A ","","R","W","DO","L ","T","G","C","050","0","0","0","","","1765182","5904851",
"Auckland","CAMES ROAD","200","W"," ","MANGAWHAI ROAD","201530482","05/01/2015","Mon","1654","BC","CE1C","111A 121A ","","S","D","B ","F "," ","N","N","100","0","0","0","","","1742141","5996061",
"Auckland","CAMPBELL ROAD",""," ","I","RAWHITI ROAD","201532361","25/02/2015","Wed","0933","LB","CW1C","302A ","","R","D","B ","F ","R","G","R","050","0","0","0","","","","",
"Auckland","CANDIA ROAD","200","N"," ","STURGES ROAD","201530370","01/02/2015","Sun","0440","DA","CN1","103A 131A ","S","E","D","DN","F "," "," ","C","070","0","0","0","","","1742144","5916424",
"Auckland","CAPE HILL ROAD","150","N"," ","NORTHVALE PLACE","201511189","04/02/2015","Wed","1935","DA","CN1","131A 800 ","F","E","W","O ","F "," "," ","C","100","0","1","0","","","1769704","5883036",
"Auckland","CAPTAIN SPRINGS ROAD",""," ","I","CHURCH ST","201531281","24/01/2015","Sat","1027","FE","4N1C","181A ","","R","D","O ","F ","X","T","C","050","0","0","0","","","1760354","5912321",
"Auckland","CARGILL ST",""," ","I","DOMINION ROAD","201510164","24/01/2015","Sat","2250","DB","CE1","101A 111A ","FHT","M","D","DO","F ","T","N","C","050","0","0","1","","","1774893","5897217",
"Auckland","CARIBBEAN DRIVE",""," ","I","SUNSET ROAD","201530338","23/01/2015","Fri","1540","FB","CE1C","181A ","","R","D","B ","F ","R","G","R","050","0","0","0","","","1753817","5930213",
"Auckland","CARLISLE ROAD","25","W"," ","LIMMER PLACE","201531411","20/02/2015","Fri","0919","EA","VW1C","129A 350A ","FM","E","D","B ","F "," ","N","C","050","0","0","0","","","1754972","5935879",
"Auckland","CARLTON CRESCENT","30","W"," ","REWA ROAD S","201511168","20/02/2015","Fri","1937","DB","CN1","102A 111A 133A 402A ","FX","E","D","DO","F "," "," ","C","050","0","0","1","","","1782057","5916157",
"Auckland","CARR ROAD","20","E"," ","FROST ROAD","201511194","17/02/2015","Tue","0900","EA","CS1C","129A 330A ","M","R","D","B ","F ","R","G","C","050","0","0","1","","","","",
"Auckland","CARR ROAD","20","E"," ","FROST ROAD","201531182","20/02/2015","Fri","1500","MD","CW1C","371B 929 ","","R","D","B ","F "," ","N","C","070","0","0","0","","","1755792","5913458",
"Auckland","CARRINGTON ROAD","10","N"," ","FONTENOY ST","201510067","06/01/2015","Tue","1250","HA","CN1C","197A 308B 382B 402B 927 ","","R","D","B ","F ","D"," ","C","050","0","0","2","","","1752458","5917415",
"Auckland","CARRUTH ROAD",""," ","I","FITZROY ST","201532476","27/02/2015","Fri","2142","HA","4E1C","321B 402B ","","R","D","DO","F ","X","S","C","050","0","0","0","","","","",
"Auckland","CARRUTH ROAD",""," ","I","KING ST","201530827","13/01/2015","Tue","1514","LB","CN1C","303B 350B 382B ","","R","D","BF","F ","T","G","C","050","0","0","0","","","1766126","5905472",
"Auckland","CASCADES ROAD","15","W"," ","BOTANY ROAD","201510062","19/01/2015","Mon","1245","NA","CW1E","191A 370A 713B ","","R","D","B ","F "," "," ","C","060","0","1","0","15","","1770529","5912721",
"Auckland","CASCADES ROAD",""," ","I","SOLANA COURT","201530371","23/01/2015","Fri","1800","FD","CW1C","181A ","","R","D","B ","F ","T","N","P","060","0","0","0","","","1770331","5912798",
"Auckland","CASPAR ROAD",""," ","I","TUI ROAD","201531999","16/02/2015","Mon","2130","DA","CE2","131A ","H","M","D","DO","F ","T","N","C","050","0","0","0","","","1767287","5906274",
"Auckland","CASTAWAY PLACE","120","S"," ","MARINER DRIVE","201530823","06/02/2015","Fri","0830","DA","CS1C","131A ","MT","E","D","BF","F "," ","N","C","050","0","0","0","","","1759846","5947168",
"Auckland","CAUSEWAY ROAD",""," ","I","SHELLY BEACH ROAD","201531926","01/01/2015","Thu","2140","DB","CS1","131A ","T","E","D","DO","F ","T","G","C","050","0","0","0","","","1781547","5925482",
"Auckland","CAVENDISH DRIVE","20","W"," ","LAMBIE DRIVE","201530470","19/01/2015","Mon","1630","MO","CE1C","371A ","M","R","D","B ","F "," ","N","C","050","0","0","0","","","1766702","5904675",
"Auckland","CAVENDISH DRIVE",""," ","I","NORMAN SPENCER DRIVE","201531211","19/01/2015","Mon","1800","KC","CE1C","308A 330A 330B 370B 929 ","","R","D","B ","F ","D","G","C","050","0","0","0","","","1766285","5904594",
"Auckland","CAVENDISH DRIVE",""," ","I","NORMAN SPENCER DRIVE","201530459","20/01/2015","Tue","0750","AC","OW1C","381A ","","R","D","B ","F ","T","G","C","060","0","0","0","","","1766285","5904594",
"Auckland","CAVENDISH DRIVE",""," ","I","PUHINUI OFF NBD","201530977","18/01/2015","Sun","0540","JA","VS1C","322A 330A ","","M","D","TO","F ","X","T","C","060","0","0","0","","","1764783","5903705",
