"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Ashburton District","MILTON ROAD",""," ","I","HOATTENS ROAD","201510244","05/01/2015","Mon","1506","HA","CN1T","302B 375B ","","R","D","BN","F ","X","G","C","070","0","0","1","","","","",
"Ashburton District","MOORE ST","100","N"," ","WILLIAM ST","201531749","07/02/2015","Sat","2335","EA","CN1V","103A 129A ","M","R","D","DO","F "," "," ","C","050","0","0","0","","","1499510","5137544",
"Ashburton District","RACECOURSE ROAD",""," ","I","HEPBURNS ROAD","201510780","27/01/2015","Tue","0836","GE","4N1O","160A 333A 387A 904 ","","R","D","O ","M ","T","G","C","100","0","1","1","","","1498892","5141826",
"Ashburton District","RAKAIA BARRHILL METHVEN R","500","W"," ","VAUGHANS ROAD","201531252","05/02/2015","Thu","0515","EC","CE1","823 ","FL","R","W","DN","F "," "," ","C","100","0","0","0","","","1495455","5170219",
"Ashburton District","WAKANUI ROAD",""," ","I","TREVORS ROAD","201531750","17/02/2015","Tue","0730","HA","CN2T","302A ","","R","D","B ","F ","X","G","C","050","0","0","0","","","1500983","5137471",
"Ashburton District","1S/401/4.159","100","N"," ","HATFIELD OVERDALE ROAD","201531735","22/02/2015","Sun","1400","FA","CN1C","181A 817 ","","R","D","B ","F "," "," ","N","100","0","0","0","","","1519172","5152608",
"Ashburton District","1S/416/12.438",""," ","I","SAUNDERS ROAD","201510830","06/02/2015","Fri","0630","CB","CN1","103A 130A 517A ","K","R","D","TO","F ","T","G","L","050","0","0","1","","","1500689","5139249",
"Ashburton District","1S/416/13.249",""," ","I","WALNUT AVENUE","201531891","18/01/2015","Sun","0200","CB","CS1","112A 130A ","IT","R","D","DO","F ","R","G","R","050","0","0","0","","","1500090","5138700",
"Ashburton District","1S/416/14.112",""," ","I","HAVELOCK ST","201531377","09/02/2015","Mon","1334","FE","CW1C4","331A 181B ","","R","W","O ","L ","X","T","C","050","0","0","0","","","1499472","5138116",
"Ashburton District","1S/416/14.343","10","E"," ","TANCRED ST","201510146","10/01/2015","Sat","1042","FD","CE1C4","181A 330A ","","R","D","B ","F ","T","G","P","050","0","0","1","","","1499304","5137958",
"Ashburton District","1S/430/2.584","150","N"," ","GRAHAM ST","201531383","12/01/2015","Mon","1704","MC","VS1C","372B ","","R","D","O ","F "," "," ","C","050","0","0","0","","","1497252","5136212",
"Ashburton District","1S/447/1.193",""," ","I","ISLEWORTH ROAD","201531752","16/02/2015","Mon","0300","CA","TN1","130A 195A ","G","R","D","DO","F ","T","G","R","070","0","0","0","","","1485351","5126904",
"Ashburton District","1S/447/5.128","200","N"," ","FRISBYS ROAD","201510840","28/01/2015","Wed","0510","FA","4N1C","112A 331A 370A ","F","R","D","DN","F "," "," ","C","100","0","0","1","","","1481906","5125111",
"Auckland","1 LINK 20 SBD","100","E"," ","GT SOUTH OBR","201531815","04/02/2015","Wed","1750","FE","CS1C","111A 181A 402A ","","M","W","O ","L "," ","T","C","100","0","0","0","","","","",
"Auckland","16 LINK 1 NBD","70","N"," ","NELSON OFF 16 NBD","201530947","13/01/2015","Tue","1000","FD","CN1C","181A 331A ","","R","D","B ","F "," "," ","N","080","0","0","0","","","1756503","5919213",
"Auckland","ABBOTTS WAY","20","E"," ","GRAND DRIVE","201511196","20/02/2015","Fri","1615","MC","CW1C","372B 402B ","","R","D","B ","F "," "," ","C","050","0","0","1","","","","",
"Auckland","ABBOTTS WAY","200","E"," ","WINSTONE DRIVE","201531946","04/01/2015","Sun","1904","FD","CE1CCC","181A 141D 191D ","","E","D","BF","F "," ","N","P","050","0","0","0","","","1762959","5916036",
"Auckland","ACCESS ROAD","950","W"," ","WOOKEY LANE","201510802","01/02/2015","Sun","1134","DA","CW1","131A 402A 615A ","PV","M","W","O ","L "," "," ","C","080","0","1","1","","","1737712","5928082",
"Auckland","AHUROA VALLEY ROAD","4040","S"," ","WEST COAST ROAD","201531827","12/01/2015","Mon","0700","BB","CE14","111A 123A 131A 363A 111B 197B 818 902+","V","E","D","B ","F "," "," ","N","080","0","0","0","","","","",
