"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Ashburton District","TAUWHARE ROAD",""," ","I","SH 1B","201413706","31/05/2014","Sat","1616","JA","CS1C","301B 375B ","","R","D","BF","F ","X","S","C","100","0","0","2","","","","",
"Ashburton District","THOMPSONS TRACK","100","E"," ","SH 77","201437993","12/05/2014","Mon","2020","EA","VE1C","386A ","M","R","D","DN","F "," ","N","C","050","0","0","0","","","1490771","5156485",
"Ashburton District","THOMPSONS TRACK","500","E"," ","URRALL ROAD","201434967","14/01/2014","Tue","2000","CC","CE1","101A 129A ","V","R","D","DN","F "," ","N","C","100","0","0","0","","","1499586","5155697",
"Ashburton District","WALNUT AVENUE",""," ","I","EAST ST","201413220","24/05/2014","Sat","0910","HA","4S14","302A 375A ","","R","D","B ","F ","R","G","C","050","0","0","1","","","1500165","5138638",
"Ashburton District","1S/401/0.485","15","N"," ","DUNFORD ST","201431793","18/01/2014","Sat","0214","CB","CS1","130A 412A ","P","R","D","DO","F ","T","S","P","070","0","0","0","","","1521680","5155078",
"Ashburton District","1S/401/4.259",""," ","I","HATFIELD OVERDALE ROAD","201433962","12/03/2014","Wed","1535","GD","4S1V","387A 144B ","","R","D","B ","F ","X","G","C","100","0","0","0","","","1519087","5152555",
"Ashburton District","1S/401/4.259",""," ","I","PENDARVES RAKAIA ROAD","201434078","10/04/2014","Thu","0635","DB","CN1","110A 131A ","P","M","W","O ","F ","X","S","C","100","0","0","0","","","1519087","5152555",
"Ashburton District","1S/401/4.509","250","S"," ","PENDARVES RAKAIA ROAD","201411269","16/03/2014","Sun","1155","EC","4N1","912 ","W","R","W","O ","H "," "," ","C","100","0","0","1","","","1518873","5152425",
"Ashburton District","1S/401/14.309","350","N"," ","COPLANDS ROAD","201436874","08/04/2014","Tue","1450","FA","4S14","331A 370A 817 901 ","","R","W","O ","H "," "," ","C","100","0","0","0","","","1510520","5147343",
"Ashburton District","1S/416/13.365","100","W"," ","WALNUT AVENUE","201432645","20/02/2014","Thu","1205","FD","CE1TC4","181A 330A 181B ","","R","D","B ","F "," ","N","P","050","0","0","0","","","1500020","5138625",
"Ashburton District","1S/416/14.112",""," ","I","HAVELOCK ST","201411207","15/02/2014","Sat","1720","FE","CS1C","130A 427A 504A ","","R","D","B ","F ","X","T","C","050","0","0","1","","","1499472","5138116",
"Ashburton District","1S/430/0.125",""," ","I","KERMODE ST WEST","201436793","27/05/2014","Tue","1600","JA","CE1C","301B 375B ","","M","D","B ","F ","T","S","C","050","0","0","0","","","1499139","5137766",
"Ashburton District","1S/430/0.178","20","N"," ","EAST ST","201412227","24/01/2014","Fri","1624","CB","CN1","129A 134A 500A ","G","R","D","BF","F "," ","N","R","050","0","0","1","","","1499117","5137718",
"Ashburton District","1S/430/0.2","200","S"," ","MOORE ST","201435023","10/04/2014","Thu","1158","MA","TN1CC","330B 373B ","M","R","W","O ","F "," ","N","C","050","0","0","0","","","1499108","5137698",
"Ashburton District","1S/430/1.635","100","N"," ","WILKIN ST","201431681","12/02/2014","Wed","1750","MC","VS1C","372B ","","R","W","O ","H "," "," ","C","050","0","0","0","","","1498001","5136796",
"Ashburton District","1S/430/2.293",""," ","I","JOHNSTONE ST","201432146","21/01/2014","Tue","1210","JA","CW1C","301B 375B ","","R","D","B ","F ","T","S","C","050","0","0","0","","","1497482","5136391",
"Ashburton District","1S/430/2.834","100","S"," ","GRAHAM ST","201413363","05/06/2014","Thu","1105","CB","CW1T","129A 361A ","M","R","D","B ","F "," "," ","C","050","0","0","2","","","1497054","5136059",
"Ashburton District","1S/430/16.436","900","S"," ","LYNNFORD ROAD","201431706","10/01/2014","Fri","1615","FA","CN1CT","331A 197C ","E","R","D","B ","F "," "," ","C","100","0","0","0","","","1486317","5127710",
"Ashburton District","1S/447/0.001",""," ","A","HINDS RIV BR","201436465","30/01/2014","Thu","2340","AB","CS1T","154A 434A ","","R","D","DN","F "," ","N","C","100","0","0","0","","","1486262","5127668",
"Ashburton District","1S/447/1.293","100","S"," ","ISLEWORTH ROAD","201410043","05/02/2014","Wed","1420","JA","CN1C","308B 377B 839 922 ","","R","D","B ","F ","D"," ","P","070","0","0","2","","","1485283","5126832",
"Ashburton District","1S/447/13.787","500","E"," ","EALING ROAD","201434830","17/03/2014","Mon","1740","CB","ON1","129A 330A ","G","R","D","ON","F "," ","N","C","050","0","0","0","","","1473799","5122073",
"Ashburton District","77/0/0.1","100","N"," ","SH 1S","201434482","26/04/2014","Sat","0250","CB","VN1","103A 133A ","H","R","D","DO","F "," "," ","C","050","0","0","0","","","1499140","5137941",
"Ashburton District","PARK ST",""," ","I","77/0/0.222","201436925","22/05/2014","Thu","1035","HA","CE24","301A ","","R","D","O ","F ","X","S","C","050","0","0","0","","","1499056","5138030",
"Ashburton District","77/0/3.678","200","S"," ","SMYTHS ROAD","201436780","12/05/2014","Mon","2245","DA","CN1","103A 410A ","T","E","W","DN","F "," ","N","C","100","0","0","0","","","1497783","5141193",
"Ashburton District","ASHBURTON STAVELEY ROAD",""," ","I","METHVEN HIGHWAY","201434838","05/04/2014","Sat","1813","DB","CN2","103A 111A 131A ","C","R","W","OF","M ","T","S","C","100","0","0","0","","","1498131","5143490",
