TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING
Hutt City,GEORGE ST,100,N, ,SPEEDY ST,201435550,30/04/2014,Wed,1612,CB,CN1,103A 130A 402A 632A ,P,R,D,O ,F , , ,C,50,0,0,0,,,1765985,5439631
Hutt City,GODLEY ST,, ,I,WHITES LINE EAST,201432864,15/03/2014,Sat,1130,MG,CS1C,371B ,,E,D,O ,F ,T,S,C,50,0,0,0,,,1760492,5434650
Hutt City,GRACEFIELD ROAD,150,E, ,BELL ROAD SOUTH,201434521,03/03/2014,Mon,922,JC,XW1M,308A 375A 927 ,,E,D,BF,F ,D,N,P,50,0,0,0,,,1760711,5433353
Hutt City,GURNEY ROAD,300,S, ,TERRYS PLACE,201435276,19/04/2014,Sat,1549,QD,TS1,428A ,P,R,D,O ,F , , ,N,50,0,0,0,,,1762161,5438863
Hutt City,GUTHRIE ST,, ,I,GODLEY ST,201434933,10/03/2014,Mon,2003,KB,CW1C,302B 375B ,,R,D,DO,F ,T,G,C,50,0,0,0,,,1760932,5434869
Hutt City,HAMSTEAD ST,80,N, ,HARLOW GROVE,201412948,17/05/2014,Sat,2200,NB,CN1E,105B 713B ,,R,D,DO,M , , ,N,50,0,0,1,35,,1762966,5432830
Hutt City,HAWTHORN CRESCENT,20,E, ,STOKES VALLEY ROAD,201411958,27/03/2014,Thu,826,PC,VS1E,308A 371A 727B 929 ,,R,D,OF,F ,D,N,C,50,0,1,0,7,,1766333,5440231
Hutt City,HEBDEN CRESCENT,800,S, ,SH 58,201400122,27/05/2014,Tue,630,DB,CS1,104A 111A 131A 517A 800 ,C,E,W,DN,F , , ,C,80,1,2,0,,,1764878,5441146
Hutt City,HIGH ST,10,E, ,ANDREWS AVENUE,201433971,10/04/2014,Thu,1045,MO,CE1C,371A 926 ,,R,D,B ,F ,D,N,C,50,0,0,0,,,1759445,5436192
Hutt City,HIGH ST,40,E, ,BRUNSWICK ST,201436123,13/05/2014,Tue,1019,JA,CN1C,308B 922 ,,R,W,O ,L ,D,N,C,50,0,0,0,,,1760446,5436781
Hutt City,HIGH ST,, ,I,DOWNER ST,201410168,09/01/2014,Thu,1704,NF,CS1E,371A ,,R,D,O ,F ,T,G,C,50,0,0,1,55,,1760204,5436664
Hutt City,HIGH ST,, ,I,MACKY ST,201433538,23/04/2014,Wed,740,KB,CS1C,302A 353A 377A ,,R,D,BF,F ,T,G,C,50,0,0,0,,,1764224,5439037
Hutt City,HIGH ST,, ,I,MELLING LINK,201431747,02/02/2014,Sun,1758,FO,CS1V,357A 512A ,,M, ,O ,  ,R,G,R,50,0,0,0,,,1760070,5436589
Hutt City,HIGH ST,, ,I,MELLING LINK,201432338,20/01/2014,Mon,1733,KC,CW1B,386B ,,R,D,B ,F ,R,G,R,50,0,0,0,,,1760070,5436589
Hutt City,HIGH ST,5,W, ,MITCHELL ST,201436855,02/05/2014,Fri,1120,FC,VW1C,112A 331A 402A ,,R,D,B ,F ,T,S,X,50,0,0,0,,,1761672,5436904
Hutt City,HIGH ST,15,W, ,MITCHELL ST,201411085,04/02/2014,Tue,1640,NA,CW1K,717B ,,R,D,B ,F , , ,X,50,0,0,1,,,1761662,5436903
Hutt City,HIGH ST,70,N, ,PARK AVENUE,201435750,24/04/2014,Thu,1600,KA,CS1C,308B 377B 839 922 ,,R,D,O ,F ,D, ,C,50,0,0,0,,,1762410,5437459
Hutt City,HIGH ST,, ,I,PRETORIA ST,201436686,03/03/2014,Mon,1542,AO,BW1V,150A 386A ,,R,D,O ,F ,R,G,R,50,0,0,0,,,1760070,5436589
Hutt City,HIGH ST,50,N, ,RAROA ROAD,201436253,19/03/2014,Wed,1035,MA,CS1C,373B ,,R,D,B ,F , , ,C,50,0,0,0,,,1759981,5436538
Hutt City,HILL ROAD,, ,I,FOSTER CRESCENT,201434080,09/04/2014,Wed,1704,JA,CN1C,301B 375B ,,E,W,O ,F ,T,S,C,50,0,0,0,,,1761255,5438585
Hutt City,HOLBORN DRIVE,400,N, ,CLAPHAM GROVE,201434936,22/01/2014,Wed,1930,DA,CN1C,111A 131A ,M,E,W,OF,L , ,N,C,50,0,0,0,,,1766035,5441297
Hutt City,HOLBORN DRIVE,20,E, ,HAROLD GROVE,201435277,10/04/2014,Thu,2125,DB,BW1,386A ,F,S,W,DO,L ,T,N,C,50,0,0,0,,,1766176,5441272
Hutt City,HOLLAND ST,, ,I,GARDINER GROVE,201430285,10/01/2014,Fri,2330,DA,CN2,131A 358A ,T,R,D,DO,F ,T,N,N,50,0,0,0,,,1762298,5430079
Hutt City,HUATOKI ST,, ,I,HIGH ST,201433714,29/03/2014,Sat,1215,GF,BS2C,129A ,,M,D,O ,F ,R,G,R,50,0,0,0,,,1760070,5436589
Hutt City,HUTT ROAD,40,E, ,RIDDLERS CRESCENT W,201438169,27/05/2014,Tue,906,GA,CW14V,331A 927 ,M,R,D,BF,F ,D,N,P,50,0,0,0,,,1757144,5434976
